unitName,baseHP,baseAtk,baseDefence,baseAtkSpeed,baseAtkRange,baseMoveSpeed,damageMultiplier,collisionSpeed,critRate,critMultiplier
고블린,50,10,0,2,1,1,1,1,1,1.1
박쥐,25,10,0,1.5,3,1.2,1,1,1,1.1
늑대,50,15,0,1.3,1,1.5,1,1,1,1.2
오크,200,30,50,4,1,0.5,1,1,5,1.2
스켈레톤,100,15,10,2.5,1,0.8,1,1,2,1.2
하피,150,30,0,1.2,1,1.5,1,1,1,1.3
나가,250,35,0,4,1,0.8,1,2,5,1.3
마녀,200,40,0,10,1,0.6,1,2,15,1.4
미노타우르스,600,60,100,4,1,0.4,1,1,8,1.4
리빙아머,800,60,200,1.7,1,0.8,1,1,2,1.5
데몬,500,80,100,3,1,1,1,3,10,1.5
드래곤,1000,100,500,7,1,0.3,1,1,10,1.6
